,school_id,name,region,region_name
0,1,Авангард,Московская область,Московская область Авангард
1,2,Авангард,Ямало-Ненецкий АО,Ямало-Ненецкий АО Авангард
2,3,Авиатор,Республика Татарстан,Республика Татарстан Авиатор
3,4,Аврора,Санкт-Петербург,Санкт-Петербург Аврора
4,5,Ice Dream / Айс Дрим,Санкт-Петербург,Санкт-Петербург Ice Dream / Айс Дрим
5,6,Айсберг,Республика Крым,Республика Крым Айсберг
6,7,Айсберг,Рязанская область,Рязанская область Айсберг
7,8,Айсберг,Свердловская область,Свердловская область Айсберг
8,9,Звездочка,Северодвинск ,Северодвинск  Звездочка
9,10,Академия синхронного катания на коньках,Москва,Москва Академия синхронного катания на коньках
10,11,Академия ФКК,Республика Мордовия,Республика Мордовия Академия ФКК
11,12,Академия ФКК,Саранск,Саранск Академия ФКК
12,13,Аллигатор,Краснодарский край,Краснодарский край Аллигатор
13,14,Альберта Демченко,Московская область,Московская область Альберта Демченко
14,15,Ангелы Плющенко,Москва,Москва Ангелы Плющенко
15,16,Ангелы Плющенко,Московская область,Московская область Ангелы Плющенко
16,17,ТОП ТИМ - лучшая команда,Санкт-Петербург,Санкт-Петербург ТОП ТИМ - лучшая команда
17,18,Арена,Курская область,Курская область Арена
18,19,Арктур,Ямало-Ненецкий АО,Ямало-Ненецкий АО Арктур
19,20,Армия фигурного катания,Москва,Москва Армия фигурного катания
20,21,Армия фигурного катания,Московская область,Московская область Армия фигурного катания
21,22,Беломорец,Архангельская область,Архангельская область Беломорец
22,23,Бердск,Новосибирская область,Новосибирская область Бердск
23,24,Школа ФК Е. Бережной,Санкт-Петербург,Санкт-Петербург Школа ФК Е. Бережной
24,25,Бриллиантовый лед,Санкт-Петербург,Санкт-Петербург Бриллиантовый лед
25,27,Буревестник,Санкт-Петербург,Санкт-Петербург Буревестник
26,28,Вдохновение,Москва,Москва Вдохновение
27,29,Вершина,Санкт-Петербург,Санкт-Петербург Вершина
28,30,Вилеса Айс,Санкт-Петербург,Санкт-Петербург Вилеса Айс
29,31,Витязь,Вологодская область,Вологодская область Витязь
30,32,Владлед,Приморский край,Приморский край Владлед
31,33,Волгарь,Самарская область,Самарская область Волгарь
32,34,Волкова,Москва,Москва Волкова
33,35,ВСШОР,Ленинградская область,Ленинградская область ВСШОР
34,36,ГАУ СК,Брянская область,Брянская область ГАУ СК
35,37,ГБОУ ДО НО СШОР по ЛВС,Нижегородская область,Нижегородская область ГБОУ ДО НО СШОР по ЛВС
36,38,Голден айс,Санкт-Петербург,Санкт-Петербург Голден айс
37,39,Голубева,Костромская бласть,Костромская бласть Голубева
38,40,Голубева,Костромская область,Костромская область Голубева
39,41,Гусева,Тверская область,Тверская область Гусева
40,42,Давыдов,Московская область,Московская область Давыдов
41,43,Движение,Республика Татарстан,Республика Татарстан Движение
42,44,Дворец Спорта,Владимирская область,Владимирская область Дворец Спорта
43,45,Дворец спорта Юность,Нижегородская область,Нижегородская область Дворец спорта Юность
44,46,Динамо,Владимирская область,Владимирская область Динамо
45,47,Динамо,Ивановская область,Ивановская область Динамо
46,48,Динамо Санкт-Петербург,Санкт-Петербург,Санкт-Петербург Динамо Санкт-Петербург
47,49,Династия,Санкт-Петербург,Санкт-Петербург Династия
48,50,Дымка,Кировская область,Кировская область Дымка
49,51,ДЮСШ по ЗВС,Белгородская область,Белгородская область ДЮСШ по ЗВС
50,52,ДЮСШ СК Юбилейный,Санкт-Петербург,Санкт-Петербург ДЮСШ СК Юбилейный
51,53,ДЮСШ No 1,Тюменская область,Тюменская область ДЮСШ No 1
52,54,ДЮСШ № 10,Самарская область,Самарская область ДЮСШ № 10
53,55,ДЮСШ № 2,Курганская область,Курганская область ДЮСШ № 2
54,56,ДЮСШ № 2,Республика Карелия,Республика Карелия ДЮСШ № 2
55,57,ДЮСШ № 4,Санкт-Петербург,Санкт-Петербург ДЮСШ № 4
56,58,ДЮСШ № 7 ,Иркутская область,Иркутская область ДЮСШ № 7 
57,59,ДЮСШ № 8,Владимирская область,Владимирская область ДЮСШ № 8
58,60,Ермак,Иркутская область,Иркутская область Ермак
59,61,Звезда,Санкт-Петербург,Санкт-Петербург Звезда
60,62,Звездный лед,Санкт-Петербург,Санкт-Петербург Звездный лед
61,63,Золотой конек,Санкт-Петербург,Санкт-Петербург Золотой конек
62,64,Золотые надежды,Санкт-Петербург,Санкт-Петербург Золотые надежды
63,65,Ижсталь,Удмуртская Республика,Удмуртская Республика Ижсталь
64,66,Каскад,Архангельская область,Архангельская область Каскад
65,67,Керриган,Республика Карелия,Республика Карелия Керриган
66,69,Кировска,Мурманская область,Мурманская область Кировска
67,70,Клин спортивный,Московская область,Московская область Клин спортивный
68,71,КО СШ по ЗВС,Калининградская область,Калининградская область КО СШ по ЗВС
69,72,МАУ ДО «СШ им. Александра Козицына»,Свердловская область,Свердловская область МАУ ДО «СШ им. Александра Козицына»
70,73,Команда Дмитриева,Челябинская область,Челябинская область Команда Дмитриева
71,74,Конаковский лед,Тверская область,Тверская область Конаковский лед
72,75,Конек Чайковской,Москва,Москва Конек Чайковской
73,76,Контакт,Ямало-Ненецкий АО,Ямало-Ненецкий АО Контакт
74,77,Космос,Воронежская область,Воронежская область Космос
75,78,Космос,Калужская область,Калужская область Космос
76,79,Красная звезда,Санкт-Петербург,Санкт-Петербург Красная звезда
77,80,Красноярск,Красноярский край,Красноярский край Красноярск
78,81,Кристалл,Сахалинская область,Сахалинская область Кристалл
79,82,Легенда,Москва,Москва Легенда
80,83,Ледовая академия,Ростовская область,Ростовская область Ледовая академия
81,84,Ледовое поколение,Орловская область,Орловская область Ледовое поколение
82,85,Ледовый дворец,Вологодская область,Вологодская область Ледовый дворец
83,86,Ледовый дворец,Тульская область,Тульская область Ледовый дворец
84,87,Ледовый дворец спорта,ХМАО-Югра,ХМАО-Югра Ледовый дворец спорта
85,88,Ледокол,Республика Татарстан,Республика Татарстан Ледокол
86,89,Локомотив,Санкт-Петербург,Санкт-Петербург Локомотив
87,91,Лыткарино,Московская область,Московская область Лыткарино
88,92,Ляпкина,Московская область,Московская область Ляпкина
89,93,Маска,Санкт-Петербург,Санкт-Петербург Маска
90,94,Мастер,Санкт-Петербург,Санкт-Петербург Мастер
91,95,МАУ СШ No 7,Челябинская область,Челябинская область МАУ СШ No 7
92,96,МАФКК,Москва,Москва МАФКК
93,97,МАФСУ СШ № 6,Кемеровская область,Кемеровская область МАФСУ СШ № 6
94,98,МАФСУ СШ №1,Кемеровская область,Кемеровская область МАФСУ СШ №1
95,99,МБУ СШ по ЗВС,Ставропольский край,Ставропольский край МБУ СШ по ЗВС
96,100,МБФСУ СШ,Кемеровская область,Кемеровская область МБФСУ СШ
97,101,Медведково,Москва,Москва Медведково
98,102,Мечта,Москва,Москва Мечта
99,103,Мещерский,Нижегородская область,Нижегородская область Мещерский
100,104,МОСГОРСПОРТ,Москва,Москва МОСГОРСПОРТ
101,105,СК ФК Т. Москвиной,Санкт-Петербург,Санкт-Петербург СК ФК Т. Москвиной
102,106,Москвич,Москва,Москва Москвич
103,107,Московская академия фигурного катания на конька,Самарская область,Самарская область Московская академия фигурного катания на конька
104,108,Мотодром Арена,Владимирская область,Владимирская область Мотодром Арена
105,109,МУ СШ №1,Республика Коми,Республика Коми МУ СШ №1
106,110,Наши надежды,Московская область,Московская область Наши надежды
107,111,Невский лед,Санкт-Петербург,Санкт-Петербург Невский лед
108,112,НЛФК,Свердловская область,Свердловская область НЛФК
109,113,Новочебоксарск,Москва,Москва Новочебоксарск
110,114,Новый уренгой,Ямало-Ненецкий АО,Ямало-Ненецкий АО Новый уренгой
111,115,О2,Пермский край,Пермский край О2
112,116,Одинцово,Московская область,Московская область Одинцово
113,118,Олимп,Калужская область,Калужская область Олимп
114,119,Олимп,Москва,Москва Олимп
115,120,Олимп,Нижегородская область,Нижегородская область Олимп
116,121,Олимп,Оренбургская область,Оренбургская область Олимп
117,122,Олимп,Псковская область,Псковская область Олимп
118,123,Олимпиец,ХМАО-Югра,ХМАО-Югра Олимпиец
119,124,Олимпийский,Рязанская область,Рязанская область Олимпийский
120,125,ОЛИМПИЯ,Санкт-Петербург,Санкт-Петербург ОЛИМПИЯ
121,126,ОЛИМПИЯ,Свердловская область,Свердловская область ОЛИМПИЯ
122,127,ООФФК ИО,Иркутская область,Иркутская область ООФФК ИО
123,128,Орленок,Пермский край,Пермский край Орленок
124,129,Пахомовой,Московская область,Московская область Пахомовой
125,130,ПГУФКСиТ,Республика Татарстан,Республика Татарстан ПГУФКСиТ
126,132,Пируэт,Хабаровский край,Хабаровский край Пируэт
127,134,Прибой,Санкт-Петербург,Санкт-Петербург Прибой
128,135,Прибой,Тюменская область,Тюменская область Прибой
129,136,ПроСинхро,Москва,Москва ПроСинхро
130,137,Профессионал,Ростовская область,Ростовская область Профессионал
131,138,Прусова,Москва,Москва Прусова
132,139,Рассвет,Красноярский край,Красноярский край Рассвет
133,140,РОО СФФК РСЯ,Республика Саха,Республика Саха РОО СФФК РСЯ
134,142,РССШ по ЗВС,Республика Саха,Республика Саха РССШ по ЗВС
135,143,РСШОР,Республика Татарстан,Республика Татарстан РСШОР
136,144,РЦСП по ФФК,Краснодарский край,Краснодарский край РЦСП по ФФК
137,145,РЦСПЗВС,Челябинская область,Челябинская область РЦСПЗВС
138,146,Рысь,Воронежская область,Воронежская область Рысь
139,147,Салаватинвест,Республика Башкортостан,Республика Башкортостан Салаватинвест
140,148,Салют,Московская область,Московская область Салют
141,149,Светлогорец,Калининградская область,Калининградская область Светлогорец
142,150,Северная Звезда,Нижегородская область,Нижегородская область Северная Звезда
143,151,Северная Олимпия,Республика Коми,Республика Коми Северная Олимпия
144,152,Северное Сияние,Санкт-Петербург,Санкт-Петербург Северное Сияние
145,153,СиТ,Республика Татарстан,Республика Татарстан СиТ
146,155,СК РОФФКК,Ростовская область,Ростовская область СК РОФФКК
147,156,"Хоккейный клуб ""СКА""",Санкт-Петербург,"Санкт-Петербург Хоккейный клуб ""СКА"""
148,157,Смена,Томская область,Томская область Смена
149,158,Снеговик,Краснодарский край,Краснодарский край Снеговик
150,159,Созвездие,Астраханская область,Астраханская область Созвездие
151,160,Созвездие,Москва,Москва Созвездие
152,161,Сокольники,Москва,Москва Сокольники
153,162,Союз мастеров спорта,Республика Крым,Республика Крым Союз мастеров спорта
154,163,Союз мастеров спорта,Ставропольский край,Ставропольский край Союз мастеров спорта
155,164,Спартак,Санкт-Петербург,Санкт-Петербург Спартак
156,165,Спартак,Чувашская республика,Чувашская республика Спартак
157,166,Спорт-индустрия,Новгородская область,Новгородская область Спорт-индустрия
158,167,Ставрополь Арена,Ставропольский край,Ставропольский край Ставрополь Арена
159,168,Старт,Пермский край,Пермский край Старт
160,169,Старт,Свердловская область,Свердловская область Старт
161,170,Стартайс,Санкт-Петербург,Санкт-Петербург Стартайс
162,171,Столица,Москва,Москва Столица
163,172,Стрела,Республика Татарстан,Республика Татарстан Стрела
164,173,СШ,ХМАО-Югра,ХМАО-Югра СШ
165,174,СШ ЗВС,Красноярский край,Красноярский край СШ ЗВС
166,176,СШ по ЗВС,Волгоградская область,Волгоградская область СШ по ЗВС
167,177,СШ по ЛВС,Республика Марий Эл,Республика Марий Эл СШ по ЛВС
168,178,СШ по ФК,Брянская область,Брянская область СШ по ФК
169,179,СШ по ФККиХ,Краснодарский край,Краснодарский край СШ по ФККиХ
170,180,СШ по хоккею с шайбой,Смоленская область,Смоленская область СШ по хоккею с шайбой
171,181,СШ № 1,Вологодская область,Вологодская область СШ № 1
172,182,СШ № 1,Пензенская область,Пензенская область СШ № 1
173,183,СШ № 1 ,Нижегородская область,Нижегородская область СШ № 1 
174,184,СШ № 11,Липецкая область,Липецкая область СШ № 11
175,185,СШ № 19,Свердловская область,Свердловская область СШ № 19
176,186,СШ № 6,Мурманская область,Мурманская область СШ № 6
177,189,СШ №4,Республика Крым,Республика Крым СШ №4
178,190,СШ №6 ,Республика Карелия,Республика Карелия СШ №6 
179,191,"СШ, г.Невинномысск",Ставропольский край,"Ставропольский край СШ, г.Невинномысск"
180,192,СШОР Колпинского района,Санкт-Петербург,Санкт-Петербург СШОР Колпинского района
181,193,СШОР по ЗВС,Тверская область,Тверская область СШОР по ЗВС
182,195,СШОР по ЛВС,Тверская область,Тверская область СШОР по ЛВС
183,198,СШОР по фигурному катанию на коньках,Санкт-Петербург,Санкт-Петербург СШОР по фигурному катанию на коньках
184,199,СШОР по ФКК,Краснодарский край,Краснодарский край СШОР по ФКК
185,200,СШОР по ФКК,Республика Мордовия,Республика Мордовия СШОР по ФКК
186,201,СШОР по ФККиШТ,Республика Татарстан,Республика Татарстан СШОР по ФККиШТ
187,203,СШОР № 1,Оренбургская область,Оренбургская область СШОР № 1
188,204,СШОР № 1,Пермский край,Пермский край СШОР № 1
189,205,СШОР № 1,Республика Башкортостан,Республика Башкортостан СШОР № 1
190,206,СШОР No 1,Самарская область,Самарская область СШОР No 1
191,207,СШОР № 1 ,Курганская область,Курганская область СШОР № 1 
192,208,СШОР № 1 Московского района,Санкт-Петербург,Санкт-Петербург СШОР № 1 Московского района
193,209,СШОР № 2,Забайкальский край,Забайкальский край СШОР № 2
194,210,СШОР № 2,Курганская область,Курганская область СШОР № 2
195,211,СШОР № 2,Москва,Москва СШОР № 2
196,212,СШОР № 35,Омская область,Омская область СШОР № 35
197,213,СШОР № 4,Республика Чувашия,Республика Чувашия СШОР № 4
198,214,СШОР № 4,Чувашская Республика,Чувашская Республика СШОР № 4
199,215,СШОР № 4,Ярославская область,Ярославская область СШОР № 4
200,216,СШОР № 6,Ростовская область,Ростовская область СШОР № 6
201,217,СШОР № 6,Рязанская область,Рязанская область СШОР № 6
202,218,СШОР №1,Республика Коми,Республика Коми СШОР №1
203,221,СШОР №3,Тамбовская область,Тамбовская область СШОР №3
204,222,Темпо,Санкт-Петербург,Санкт-Петербург Темпо
205,223,ТИТУЛ,Санкт-Петербург,Санкт-Петербург ТИТУЛ
206,224,Тодес,Челябинская область,Челябинская область Тодес
207,225,Триумф,Пермский край,Пермский край Триумф
208,226,Ужный урал ,Челябинская область,Челябинская область Ужный урал 
209,227,УОР № 1,Московская область,Московская область УОР № 1
210,228,УФФК,Удмуртская Республика,Удмуртская Республика УФФК
211,229,Фаворит,Санкт-Петербург,Санкт-Петербург Фаворит
212,230,ФАУ МО РФ ЦСКА,Республика Татарстан,Республика Татарстан ФАУ МО РФ ЦСКА
213,231,Федерация фигурного катания на коньках,Калининградская область,Калининградская область Федерация фигурного катания на коньках
214,233,ФОК городец,Нижегородская область,Нижегородская область ФОК городец
215,234,ФФК,Тверская область,Тверская область ФФК
216,235,ФФК РБ,Республика Башкортостан,Республика Башкортостан ФФК РБ
217,236,ФФК СК,Ставропольский край,Ставропольский край ФФК СК
218,237,ФФКК,Республика Карелия,Республика Карелия ФФКК
219,238,ФФКК,ХМАО-Югра,ХМАО-Югра ФФКК
220,239,ФФКК РК,Республика Коми,Республика Коми ФФКК РК
221,240,ФФКК ЯНАО,Ямало-Ненецкий АО,Ямало-Ненецкий АО ФФКК ЯНАО
222,241,ФФККВО,Владимирская область,Владимирская область ФФККВО
223,243,Холмск-Арена,Сахалинская область,Сахалинская область Холмск-Арена
224,244,Хрустальный,Москва,Москва Хрустальный
225,245,Хрустальный конек,Воронежская область,Воронежская область Хрустальный конек
226,246,Центр по ЛВС,Красноярский край,Красноярский край Центр по ЛВС
227,248,Центр спортивных технологий,Московская область,Московская область Центр спортивных технологий
228,249,ЦЗВС,Новосибирская область,Новосибирская область ЦЗВС
229,250,ЦОП по фигурному катанию на коньках,Санкт-Петербург,Санкт-Петербург ЦОП по фигурному катанию на коньках
230,251,ЦСКА,Москва,Москва ЦСКА
231,253,ЦФКСиЗ Красногвардейского района,Санкт-Петербург,Санкт-Петербург ЦФКСиЗ Красногвардейского района
232,254,ЦФКСиЗ Василеостровского района,Санкт-Петербург,Санкт-Петербург ЦФКСиЗ Василеостровского района
233,256,ЦФКСиЗ Московского района,Санкт-Петербург,Санкт-Петербург ЦФКСиЗ Московского района
234,257,ЦФКСиЗ Фрунзенского района,Санкт-Петербург,Санкт-Петербург ЦФКСиЗ Фрунзенского района
235,258,Челны,Набережные челны,Набережные челны Челны
236,259,Чемпион,Санкт-Петербург,Санкт-Петербург Чемпион
237,260,Энергия,Свердловская область,Свердловская область Энергия
238,261,Южное сияние,Челябинская область,Челябинская область Южное сияние
239,262,Южный Лед,Москва,Москва Южный Лед
240,263,Юность,Мурманская область,Мурманская область Юность
241,264,Юность,Свердловская область,Свердловская область Юность
242,265,Юность,ХМАО-Югра,ХМАО-Югра Юность
243,266,Юность,Чувашская Республика,Чувашская Республика Юность
244,267,Ямал,Ямало-Ненецкий АО,Ямало-Ненецкий АО Ямал
245,268,МКУ ДО «ДЮСШ «ВОСТОЧНАЯ»,Воронежская область,Воронежская область МКУ ДО «ДЮСШ «ВОСТОЧНАЯ»
246,270,ЦФКСиЗ Невского района,Санкт-Петербург,Санкт-Петербург ЦФКСиЗ Невского района
247,271,ИП Иванова,Санкт-Петербург,Санкт-Петербург ИП Иванова
248,272,СК ФК «Open Ice»,Санкт-Петербург,Санкт-Петербург СК ФК «Open Ice»
249,273,Каскад,Санкт-Петербург,Санкт-Петербург Каскад
250,274,"""Голден Айс Петергоф"" (ГБУ СШ ""Манеж"")",Санкт-Петербург,"Санкт-Петербург ""Голден Айс Петергоф"" (ГБУ СШ ""Манеж"")"
251,275,"ООО ""ЛЕДОВАЯ ИСТОРИЯ""",Санкт-Петербург,"Санкт-Петербург ООО ""ЛЕДОВАЯ ИСТОРИЯ"""
252,276,Северная Столица,Санкт-Петербург,Санкт-Петербург Северная Столица
253,278,СФК Империя Льда,Санкт-Петербург,Санкт-Петербург СФК Империя Льда
254,279,Созвездие Айс,Санкт-Петербург,Санкт-Петербург Созвездие Айс
255,280,Энергия льда,Санкт-Петербург,Санкт-Петербург Энергия льда
256,281,СФК «Серпантин» (И П Шалимова Т.А.),Санкт-Петербург,Санкт-Петербург СФК «Серпантин» (И П Шалимова Т.А.)
257,282,"СШ (ОРК) филиала ФАУ МО РФ ЦСКА (СКА, г. Санкт-Петербург)",Санкт-Петербург,"Санкт-Петербург СШ (ОРК) филиала ФАУ МО РФ ЦСКА (СКА, г. Санкт-Петербург)"
258,283,Proice Kids,Санкт-Петербург,Санкт-Петербург Proice Kids
259,284,"ООО ""ГЛАЙД""",Санкт-Петербург,"Санкт-Петербург ООО ""ГЛАЙД"""
260,285,Отделение фигурного катания «Ника» ООО «Клуб СБС»,Санкт-Петербург,Санкт-Петербург Отделение фигурного катания «Ника» ООО «Клуб СБС»
261,286,СК ФК «Ice Prestige»,Санкт-Петербург,Санкт-Петербург СК ФК «Ice Prestige»
262,287,"СФК ""УЗОР"" ИП Баранчикова Наталия Александровна",Санкт-Петербург,"Санкт-Петербург СФК ""УЗОР"" ИП Баранчикова Наталия Александровна"
263,288,СТАРТАЙС,Санкт-Петербург,Санкт-Петербург СТАРТАЙС
264,289,"ООО ""Пируэт""",Санкт-Петербург,"Санкт-Петербург ООО ""Пируэт"""
265,291,Динамит,Санкт-Петербург,Санкт-Петербург Динамит
266,292,АНО ШФК,Республика Башкортостан,Республика Башкортостан АНО ШФК
267,293,АНО Лига фигурного катания,Москва,Москва АНО Лига фигурного катания
268,294,"ГБУ ""МосСпортОбъект"" ЛЦ ""Звезда""",Москва,"Москва ГБУ ""МосСпортОбъект"" ЛЦ ""Звезда"""
269,295,ГУ ТО ОКСШОР,Тульская область,Тульская область ГУ ТО ОКСШОР
270,296,"МБОУ ДО СШ №8 ""Локомотив"", ",Свердловская область,"Свердловская область МБОУ ДО СШ №8 ""Локомотив"", "
271,297,"ЧУДО ДЮСОШ ""СИЯНИЕ"" ",Воронежская область,"Воронежская область ЧУДО ДЮСОШ ""СИЯНИЕ"" "
272,298,"АНО СК ""ЮНАРМЕЙЦЫ""",Севастополь,"Севастополь АНО СК ""ЮНАРМЕЙЦЫ"""
273,300,"ГАУ РО ""ХК ""Рязань-ВДВ""",Рязанская область,"Рязанская область ГАУ РО ""ХК ""Рязань-ВДВ"""
274,301,"МБУ ""ЦФКиС г. Лобня"" ",Московская область,"Московская область МБУ ""ЦФКиС г. Лобня"" "
275,302,СШ №2,Республика Башкортостан,Республика Башкортостан СШ №2
276,303,"ООО ""СетПоинт""",Москва,"Москва ООО ""СетПоинт"""
277,304,СШ по ЗВС,Пензенская область,Пензенская область СШ по ЗВС
278,305,Прогресс,Алтайский край,Алтайский край Прогресс
279,609,"""СШ ""Гвоздика""",Удмуртская республика,"Удмуртская республика ""СШ ""Гвоздика"""
280,610,"СШОР ""Надежда Губернии",Саратовская область,"Саратовская область СШОР ""Надежда Губернии"
281,611,КФК «Айсберг»,Пермский край,Пермский край КФК «Айсберг»
282,1836,"ООО ""Триумф""",Москва,"Москва ООО ""Триумф"""
